"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","CHAN_ZG","CHAN_ZT","CHAN_R"
"116",1957949064,7586342,67779.616,-146.381436,66.531011,121.94,213.618563,66.531012,123.02,-0.9,-0.71,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.67,0.71,0.79,0.82,0.94,1.09,134.63,3.089,8647.28,0.116,1,1,1,1958686305,36351954,70684.52166,-146.381423,66.531013,121.65,213.618577,66.531013,121.65,213.61858,66.531012,123.21,-0.97,-0.82,-0.67,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,-0.07,0.07,0.07,0.22,0.37,0.37,0.52,0.52,0.52,0.67,1.57,298.14,5.754,12683.05,0.116,0.938,1,1,1,0.619260431933656,-0.289999999999992,-0.07,-0.11,-0.0700000000000001,-0.18,-0.11,-0.18,-0.11,-0.18,-0.11,-0.18,-0.11,-0.18,-0.26,-0.19,-0.27,-0.19,-0.15,-0.3,-0.19,-0.27,-0.3,-0.27,0.48,TRUE,TRUE,NA
"234",1957949064,7586460,67779.645,-146.375644,66.528944,121.95,213.624355,66.528945,123.03,-0.93,-0.75,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.71,0.75,0.78,0.86,0.93,1.08,133.7,5.373,8672,0.16,1,1,1,1958686305,36352069,70684.55041,-146.375644,66.528952,122.39,213.624356,66.528952,122.39,213.624359,66.528951,124.07,-1.08,-0.78,-0.78,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.41,0.56,0.56,0.71,1.68,293.58,4.257,12652.8,0.116,0.946,1,1,1,0.891772370232975,0.439999999999998,-0.15,-0.03,-0.15,-0.12,-0.08,-0.15,-0.08,-0.15,-0.08,-0.15,-0.08,-0.15,-0.23,-0.15,-0.23,-0.15,-0.26,-0.3,-0.34,-0.22,-0.3,-0.22,0.6,TRUE,TRUE,NA
"259",1957949064,7586485,67779.652,-146.374373,66.528575,121.91,213.625625,66.528575,122.95,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.67,0.71,0.78,0.82,0.89,1.04,133.16,5.829,8679.3,0.133,1,1,1,1958686305,36352087,70684.55491,-146.374357,66.52858,122.96,213.625643,66.52858,122.96,213.625646,66.52858,124.6,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.37,0.52,0.52,0.67,1.64,292.66,3.946,12648.04,0.103,0.963,1,1,1,0.903523137427988,1.05,0,-0.0399999999999999,-0.04,0,-0.11,-0.03,-0.11,-0.18,-0.11,-0.18,-0.11,-0.18,-0.26,-0.19,-0.27,-0.19,-0.3,-0.3,-0.34,-0.26,-0.3,-0.22,0.6,TRUE,TRUE,NA
"328",1957949064,7586554,67779.669,-146.372934,66.528281,121.95,213.627064,66.528282,122.99,-0.97,-0.78,-0.63,-0.52,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.71,0.74,0.82,0.89,1.04,132.08,6.285,8686.44,0.116,1,1,1,1958686305,36352104,70684.55916,-146.372936,66.528287,122.8,213.627064,66.528287,122.8,213.627066,66.528287,124.48,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.49,0.64,1.68,292.31,3.625,12643.87,0.116,0.959,1,1,1,0.674710642632235,0.849999999999994,-0.04,-0.08,-0.08,-0.04,-0.11,-0.04,-0.11,-0.04,-0.11,-0.04,-0.11,-0.18,-0.11,-0.18,-0.11,-0.22,-0.18,-0.18,-0.22,-0.25,-0.33,-0.25,0.64,TRUE,TRUE,NA
"350",1957949064,7586576,67779.674,-146.373892,66.528665,121.95,213.626106,66.528665,123.1,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.56,0.71,0.75,0.82,0.89,0.97,1.16,131.92,5.889,8679.59,0.143,1,1,1,1958686305,36352088,70684.55516,-146.373896,66.528659,122.92,213.626104,66.528659,122.92,213.626107,66.528659,124.57,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.49,0.64,1.65,293.74,3.876,12647.6,0.145,0.958,1,1,1,0.692054227694431,0.969999999999999,-0.04,-0.08,-0.08,-0.04,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,-0.15,-0.22,-0.15,-0.22,-0.15,-0.22,-0.22,-0.22,-0.26,-0.33,-0.4,-0.33,0.49,TRUE,TRUE,NA
"393",1957949064,7586619,67779.685,-146.376244,66.529335,121.91,213.623755,66.529335,122.99,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.15,0.26,0.34,0.41,0.52,0.67,0.75,0.78,0.86,0.93,1.08,133.08,5.05,8667.38,0.143,1,1,1,1958686305,36352055,70684.54691,-146.376254,66.529334,121.64,213.623746,66.529334,121.64,213.623749,66.529333,123.36,-0.93,-0.78,-0.64,-0.64,-0.49,-0.34,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.41,0.56,0.56,0.71,1.72,295.18,4.448,12657.43,0.145,0.962,1,1,1,0.458208956302796,-0.269999999999996,0.0399999999999999,0,-0.01,-0.12,-0.08,0,-0.08,-0.15,-0.08,-0.15,-0.08,-0.15,-0.19,-0.15,-0.23,-0.15,-0.26,-0.26,-0.34,-0.22,-0.3,-0.22,0.64,TRUE,TRUE,NA
"404",1957949064,7586630,67779.688,-146.376531,66.529553,121.97,213.623467,66.529553,123.09,-0.9,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.71,0.75,0.78,0.86,0.93,1.12,132.4,4.879,8665.74,0.087,1,1,1,1958686305,36351886,70684.50466,-146.376537,66.529546,121.65,213.623463,66.529546,121.65,213.623465,66.529546,123.29,-1.05,-0.9,-0.75,-0.6,-0.45,-0.45,-0.3,-0.3,-0.3,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.75,1.64,295.53,4.553,12659.07,0.076,0.959,1,1,1,0.824608297303621,-0.319999999999993,-0.15,-0.15,-0.15,-0.11,-0.04,-0.11,-0.04,-0.11,-0.19,-0.11,-0.19,-0.11,-0.19,-0.26,-0.19,-0.26,-0.22,-0.26,-0.3,-0.33,-0.26,-0.18,0.52,TRUE,TRUE,NA
"435",1957949064,7586661,67779.696,-146.378286,66.530027,122.33,213.621713,66.530028,123.49,-0.97,-0.78,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.71,0.75,0.82,0.9,0.97,1.16,133.69,4.265,8657.7,0.105,1,1,1,1958686305,36351910,70684.51066,-146.378276,66.530034,122.77,213.621724,66.530034,122.77,213.621727,66.530033,124.45,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.63,0.63,1.68,296.43,4.972,12665.91,0.087,0.952,1,1,1,0.897991049742995,0.439999999999998,-0.04,-0.08,-0.07,-0.04,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,-0.15,-0.22,-0.15,-0.22,-0.15,-0.26,-0.22,-0.22,-0.26,-0.33,-0.27,-0.34,0.52,TRUE,TRUE,NA
"457",1957949064,7586683,67779.701,-146.379233,66.530409,122.75,213.620766,66.530409,123.79,-0.93,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.67,0.71,0.79,0.82,0.9,1.05,133.59,3.87,8653.68,0.133,1,1,1,1958686305,36351924,70684.51416,-146.379236,66.530402,123.32,213.620764,66.530402,123.32,213.620768,66.530401,125.48,-1.19,-1.04,-0.9,-0.75,-0.6,-0.45,-0.45,-0.3,-0.15,-0.15,0,0.15,0.15,0.3,0.45,0.6,0.75,0.9,0.9,1.04,1.19,1.34,2.16,297.35,5.227,12670.08,0.168,0.959,1,1,1,0.791609500037486,0.569999999999993,-0.26,-0.29,-0.3,-0.26,-0.19,-0.11,-0.19,-0.11,-0.04,-0.11,-0.04,0.04,-0.04,0.04,0.11,0.19,0.23,0.23,0.19,0.25,0.37,0.44,1.11,TRUE,TRUE,NA
"490",1957949064,7586716,67779.709,-146.380847,66.530953,121.95,213.619152,66.530953,122.96,-0.94,-0.75,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.37,0.49,0.64,0.67,0.75,0.79,0.86,1.01,134.35,3.25,8647.87,0.114,1,1,1,1958686305,36351947,70684.51991,-146.380846,66.530961,121.63,213.619154,66.530961,121.63,213.619157,66.530961,123.23,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.04,0.19,0.19,0.34,0.48,0.48,0.63,0.63,0.78,1.6,298.45,5.641,12680.97,0.174,0.927,1,1,1,0.892879138689897,-0.320000000000007,-0.0700000000000001,-0.11,-0.07,-0.04,-0.11,-0.07,-0.15,-0.07,-0.11,-0.04,-0.11,-0.03,-0.11,-0.18,-0.11,-0.18,-0.15,-0.16,-0.19,-0.12,-0.16,-0.08,0.59,TRUE,TRUE,NA
