"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"318367",1957949236,28218747,72937.758,-146.19445,66.610526,127.57,213.805541,66.610528,134.64,-0.79,-0.49,-0.26,-0.07,0.11,0.3,0.56,1.01,1.5,1.87,2.17,2.47,2.8,3.14,3.55,3.96,4.49,5.27,5.5,5.72,6.02,6.36,7.07,118.71,3.885,8645.12,0.381,1,1,1,1958686303,36149551,70633.9205,-146.194454,66.610533,127.99,213.805544,66.610535,132.75,213.805543,66.610535,135.44,-0.9,-0.6,-0.45,-0.3,-0.15,0,0.15,0.3,0.6,1.05,1.35,1.65,1.95,2.25,2.7,3.3,4.19,5.09,5.39,5.69,5.99,6.29,7.45,148.35,2.123,12624.06,0.352,0.979,1,1,1,0.800180583865993,0.420000000000002,-0.11,-0.11,-0.19,-0.23,-0.26,-0.3,-0.41,-0.71,-0.9,-0.82,-0.82,-0.82,-0.85,-0.89,-0.85,-0.66,-0.3,-0.18,-0.11,-0.0299999999999994,-0.0299999999999994,-0.0700000000000003,0.38,223.97,-Inf,-Inf,TRUE,TRUE,NA
"320762",1957949236,28221145,72938.358,-146.195692,66.610146,128.14,213.804294,66.610149,138.61,-1.05,-0.79,-0.64,-0.49,-0.34,-0.22,-0.15,-0.04,0.07,0.19,0.3,0.41,0.56,0.79,1.16,1.87,3.44,6.62,7.37,8.08,8.71,9.46,10.47,117.25,3.794,8643.18,0.265,1,1,1,1958686303,36150828,70634.23975,-146.195678,66.610149,128.58,213.804318,66.610151,137.91,213.804317,66.610152,140.68,-1.01,-0.71,-0.56,-0.41,-0.41,-0.26,-0.11,0.04,0.04,0.19,0.34,0.64,0.94,1.39,1.98,3.03,5.13,7.83,8.43,9.03,9.77,10.52,12.1,148.18,2.024,12621.22,0.204,0.984,1,1,1,0.70462060706423,0.440000000000026,0.04,0.0800000000000001,0.08,0.08,-0.07,-0.04,0.04,0.08,-0.03,0,0.04,0.23,0.38,0.6,0.82,1.16,1.69,1.21,1.06,0.949999999999999,1.06,1.06,1.63,223.97,-Inf,-Inf,TRUE,TRUE,NA
"320784",1957949236,28221167,72938.363,-146.195091,66.60971,124.24,213.804908,66.60971,125.36,-0.9,-0.71,-0.6,-0.49,-0.37,-0.3,-0.22,-0.15,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.71,0.75,0.78,0.86,0.93,1.12,120.07,4.103,8649.16,0.134,1,1,1,1958686303,36151202,70634.33325,-146.195102,66.60971,124.35,213.804898,66.60971,124.35,213.804897,66.609711,126.15,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.64,0.64,1.8,146.28,2.234,12627.2,0.145,0.975,1,1,1,0.487311964375427,0.109999999999999,-0.11,-0.15,-0.11,-0.0700000000000001,-0.19,-0.11,-0.19,-0.11,-0.15,-0.07,-0.15,-0.22,-0.15,-0.22,-0.15,-0.22,-0.18,-0.22,-0.26,-0.29,-0.22,-0.29,0.68,223.97,-Inf,-Inf,TRUE,TRUE,NA
"321927",1957949236,28222310,72938.649,-146.198042,66.610425,127.34,213.801952,66.610426,132.43,-0.67,-0.26,0.11,0.49,1.01,1.42,1.76,2.06,2.28,2.51,2.69,2.88,3.03,3.22,3.4,3.59,3.78,4.08,4.15,4.27,4.38,4.56,5.09,115.11,3.14,8639.48,0.28,1,1,1,1958686303,36151242,70634.34325,-146.198029,66.61043,127.9,213.801971,66.610431,130.48,213.80197,66.610431,132.95,-0.67,-0.37,-0.07,0.07,0.37,0.82,1.12,1.42,1.72,1.87,2.02,2.32,2.47,2.62,2.77,3.07,3.22,3.52,3.67,3.67,3.82,4.12,5.06,156.07,1.626,12619.89,0.31,0.978,1,1,1,0.801446025116368,0.560000000000002,0,-0.11,-0.18,-0.42,-0.64,-0.6,-0.64,-0.64,-0.56,-0.64,-0.67,-0.56,-0.56,-0.6,-0.63,-0.52,-0.56,-0.56,-0.48,-0.6,-0.56,-0.44,-0.0300000000000002,223.97,-Inf,-Inf,TRUE,TRUE,NA
"321972",1957949236,28222355,72938.66,-146.195808,66.609687,124.26,213.80419,66.609687,125.34,-0.9,-0.71,-0.6,-0.49,-0.41,-0.3,-0.22,-0.15,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.67,0.75,0.79,0.86,0.93,1.08,118.09,3.971,8646.92,0.103,1,1,1,1958686303,36151210,70634.33525,-146.195798,66.609694,124.32,213.804202,66.609694,124.32,213.804201,66.609694,126.16,-0.94,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.41,0.56,0.56,0.71,1.83,149.43,2.166,12626.61,0.072,0.983,1,1,1,0.897300616511572,0.0599999999999881,-0.0399999999999999,-0.0800000000000001,-0.04,0,-0.08,-0.04,-0.12,-0.19,-0.08,-0.15,-0.08,-0.15,-0.23,-0.15,-0.23,-0.15,-0.26,-0.26,-0.34,-0.23,-0.3,-0.22,0.75,223.97,-Inf,-Inf,TRUE,TRUE,NA
"323099",1957949236,28223482,72938.942,-146.199657,66.610549,124.27,213.800338,66.61055,129.17,-0.6,-0.45,-0.3,-0.15,-0.04,0.11,0.22,0.37,0.56,0.82,1.2,1.57,1.87,2.13,2.36,2.62,2.92,3.44,3.59,3.86,4.12,4.45,4.9,112.34,2.734,8635.45,0.237,1,1,1,1958686303,36152066,70634.54925,-146.199644,66.610549,124.36,213.800356,66.610549,124.36,213.800356,66.610549,125.9,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.22,-0.07,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.37,0.52,0.52,0.67,1.54,159.59,1.327,12620.04,0.68,0.945,2,2,2,0.57589456168498,0.0900000000000034,-0.37,-0.37,-0.37,-0.37,-0.48,-0.48,-0.59,-0.59,-0.78,-1.04,-1.27,-1.64,-1.94,-2.06,-2.29,-2.4,-2.7,-3.07,-3.22,-3.34,-3.6,-3.78,-3.36,223.97,-Inf,-Inf,FALSE,FALSE,NA
"323121",1957949236,28223504,72938.948,-146.19869,66.610167,124.24,213.801309,66.610167,125.4,-0.9,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.15,0.22,0.34,0.41,0.52,0.67,0.75,0.79,0.86,0.94,1.16,115.09,3.11,8639.33,0.087,1,1,1,1958686303,36152082,70634.55325,-146.19868,66.610168,124.34,213.80132,66.610168,124.34,213.80132,66.610168,126.18,-1.05,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.3,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.84,155.3,1.577,12622.58,0.105,0.982,1,1,1,0.456812498782312,0.100000000000009,-0.15,0,0,-0.11,-0.04,-0.11,-0.04,-0.11,-0.19,-0.11,-0.19,-0.11,-0.15,-0.22,-0.19,-0.26,-0.22,-0.22,-0.3,-0.34,-0.26,-0.34,0.68,223.97,-Inf,-Inf,TRUE,TRUE,NA
"323215",1957949236,28223598,72938.971,-146.197476,66.60953,124.23,213.802522,66.60953,125.35,-0.93,-0.75,-0.6,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.71,0.79,0.82,0.93,1.12,119.12,3.646,8644.54,0.116,1,1,1,1958686303,36152507,70634.65951,-146.197471,66.609533,124.33,213.802529,66.609533,124.33,213.802528,66.609533,126.13,-1.01,-0.71,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.26,-0.11,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.49,0.49,0.49,0.64,1.8,149.77,1.921,12623.92,0.134,0.984,1,1,1,0.401126136799252,0.0999999999999943,-0.08,0.04,-0.11,-0.04,0,-0.07,0,-0.07,-0.15,-0.04,-0.11,-0.18,-0.11,-0.18,-0.11,-0.22,-0.18,-0.18,-0.22,-0.3,-0.33,-0.29,0.68,223.97,-Inf,-Inf,TRUE,TRUE,NA
"323286",1957949236,28223669,72938.989,-146.200973,66.610722,124.33,213.799021,66.610723,131.48,1.16,1.87,2.21,2.47,2.66,2.85,3.03,3.22,3.41,3.59,3.78,3.97,4.19,4.38,4.61,4.87,5.2,5.69,5.8,5.95,6.14,6.4,7.15,112.07,2.339,8633.37,0.278,1,1,1,1958686303,36152053,70634.546,-146.200964,66.610721,124.37,213.799036,66.610722,129.58,213.799036,66.610722,130.29,-1.01,-0.71,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.94,1.54,1.69,1.84,2.29,4.09,5.92,170.41,1.176,12620.2,0.306,0.985,1,2,1,0.41398402633937,0.0400000000000063,-2.17,-2.58,-2.92,-3.03,-3.07,-3.26,-3.29,-3.48,-3.52,-3.7,-3.74,-3.93,-4,-4.19,-4.27,-4.38,-4.26,-4.15,-4.11,-4.11,-3.85,-2.31,-1.23,223.97,-Inf,-Inf,FALSE,TRUE,NA
"324265",1957949236,28224648,72939.234,-146.201881,66.610692,124.2,213.798118,66.610692,125.36,-0.9,-0.71,-0.6,-0.49,-0.37,-0.3,-0.22,-0.15,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.71,0.75,0.79,0.86,0.94,1.16,109.82,2.164,8633.23,0.134,1,1,1,1958686303,36152568,70634.67476,-146.201889,66.610684,124.31,213.798111,66.610684,124.31,213.798111,66.610684,126.07,-0.9,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.76,175.15,1.069,12619.45,0.072,0.976,1,1,1,0.959624708832772,0.109999999999999,0,-0.04,0,-0.11,-0.08,-0.15,-0.08,-0.15,-0.04,-0.11,-0.19,-0.11,-0.19,-0.26,-0.19,-0.26,-0.22,-0.26,-0.3,-0.34,-0.26,-0.34,0.6,223.97,-Inf,-Inf,TRUE,TRUE,NA
"324320",1957949236,28224703,72939.247,-146.198884,66.609832,124.28,213.801114,66.609832,125.4,-0.94,-0.75,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.37,0.49,0.64,0.71,0.75,0.82,0.9,1.12,114.97,3.225,8640.07,0.145,1,1,1,1958686303,36152526,70634.66426,-146.198887,66.609831,124.37,213.801113,66.609831,124.37,213.801113,66.609831,125.61,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.04,0.19,0.19,0.34,0.34,0.49,0.49,0.64,1.24,155.49,1.654,12621.98,0.25,0.855,2,2,2,0.173463000192477,0.0900000000000034,-0.0700000000000001,-0.11,-0.07,-0.04,-0.11,-0.07,-0.15,-0.07,-0.11,-0.19,-0.11,-0.18,-0.11,-0.18,-0.26,-0.18,-0.3,-0.3,-0.37,-0.26,-0.33,-0.26,0.12,223.97,-Inf,-Inf,FALSE,FALSE,NA
"324364",1957949236,28224748,72939.259,-146.196653,66.60909,124.23,213.803346,66.60909,125.39,-0.9,-0.71,-0.6,-0.49,-0.41,-0.3,-0.22,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.41,0.52,0.67,0.75,0.78,0.86,0.93,1.16,117.96,4.058,8648.56,0.176,1,1,1,1958686303,36152494,70634.65626,-146.196657,66.609095,124.35,213.803343,66.609095,124.35,213.803343,66.609096,125.96,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.22,-0.07,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.37,0.52,0.52,0.52,1.61,149.07,2.196,12626.6,0.134,0.96,1,1,1,0.584859608711315,0.11999999999999,-0.07,-0.11,-0.0700000000000001,-0.03,-0.11,-0.07,-0.15,-0.03,-0.11,-0.18,-0.11,-0.18,-0.26,-0.19,-0.27,-0.19,-0.3,-0.3,-0.38,-0.26,-0.34,-0.41,0.45,223.97,-Inf,-Inf,TRUE,TRUE,NA
"324414",1957949236,28224801,72939.272,-146.197904,66.609201,124.75,213.802094,66.609201,125.91,-0.93,-0.75,-0.6,-0.49,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.07,0.15,0.22,0.34,0.41,0.52,0.67,0.75,0.79,0.86,0.93,1.16,119.33,3.699,8644.39,0.116,1,1,1,1958686303,36153386,70634.87926,-146.197894,66.609197,125.08,213.802106,66.609197,125.08,213.802105,66.609197,126.84,-0.9,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.76,148.08,1.927,12623.02,0.087,0.971,1,1,1,0.62855999886921,0.329999999999998,0.03,0,0,-0.11,-0.04,-0.11,-0.04,-0.11,-0.04,-0.11,-0.19,-0.07,-0.15,-0.22,-0.19,-0.26,-0.22,-0.22,-0.3,-0.34,-0.26,-0.33,0.6,223.97,-Inf,-Inf,TRUE,TRUE,NA
"324506",1957949236,28224893,72939.295,-146.202444,66.610733,124.23,213.797555,66.610733,125.24,-0.97,-0.79,-0.64,-0.52,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.11,0.19,0.3,0.37,0.49,0.64,0.67,0.71,0.79,0.86,1.01,109.15,2.015,8632.78,0.341,2,2,2,1958686303,36152575,70634.67651,-146.202434,66.610741,124.33,213.797566,66.610741,124.33,213.797566,66.610741,126.16,-0.9,-0.75,-0.6,-0.6,-0.45,-0.45,-0.3,-0.3,-0.3,-0.15,-0.15,0,0,0,0.15,0.15,0.3,0.45,0.45,0.45,0.6,0.6,1.84,181,1.035,12619.15,0.134,0.98,1,1,1,0.995754125141752,0.0999999999999943,0.07,0.04,0.04,-0.08,0,-0.08,0,-0.08,-0.15,-0.08,-0.15,-0.07,-0.11,-0.19,-0.15,-0.22,-0.19,-0.19,-0.22,-0.26,-0.19,-0.26,0.83,223.97,-Inf,-Inf,FALSE,FALSE,NA
