"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"160373",1957940050,5782131,63031.319,-146.321038,64.209699,306.96,213.678981,64.209713,329.18,-1.23,-0.97,-0.75,-0.6,-0.49,-0.37,-0.26,-0.15,-0.04,0.04,0.15,0.26,0.37,0.49,0.64,0.86,1.38,6.09,8.67,14.38,16.96,19.99,22.23,211.97,4.531,8516.06,0.152,1,1,1,1958696634,75892236,88389.60388,-146.321033,64.209704,307.29,213.678968,64.209705,310.39,213.678969,64.209707,314.96,-0.98,-0.68,-0.53,-0.38,-0.23,-0.09,0.06,0.36,0.51,0.96,1.71,2.31,2.76,3.21,3.51,3.96,4.41,5.01,5.16,5.46,5.75,6.05,7.66,199.34,2.578,6460.2,0.402,0.994,1,2,1,0.607762622164388,0.330000000000041,0.25,0.29,0.22,0.22,0.26,0.28,0.32,0.51,0.55,0.92,1.56,2.05,2.39,2.72,2.87,3.1,3.03,-1.08,-3.51,-8.92,-11.21,-13.94,-14.57,212.42,-Inf,-Inf,FALSE,TRUE,NA
"161638",1957940050,5783399,63031.636,-146.321169,64.209084,307.39,213.678856,64.209102,334.05,-1.01,-0.67,-0.45,-0.22,-0.07,0.11,0.3,0.52,0.86,1.79,3.06,3.55,3.92,4.22,4.55,4.93,5.38,7.13,10.19,14.3,18.63,24.83,26.66,212.42,4.928,8521.58,0.317,1,1,1,1958696634,75892007,88389.54663,-146.321155,64.209082,307.78,213.678851,64.209089,322.36,213.678851,64.20909,324.49,-0.99,-0.69,-0.54,-0.39,-0.24,-0.24,-0.09,0.06,0.21,0.36,0.66,1.11,2.3,3.2,3.8,4.55,5.6,8.14,8.89,10.53,12.78,14.43,16.71,198.26,3.161,6460.63,0.522,0.992,1,2,1,0.715267949211397,0.389999999999986,0.02,-0.0199999999999999,-0.09,-0.17,-0.17,-0.35,-0.39,-0.46,-0.65,-1.43,-2.4,-2.44,-1.62,-1.02,-0.75,-0.38,0.22,1.01,-1.3,-3.77,-5.85,-10.4,-9.95,212.42,-Inf,-Inf,FALSE,TRUE,NA
"137450",1957940049,5757486,63025.158,-146.33514,64.211916,315.88,213.664876,64.211927,330.08,-0.93,-0.34,0.22,0.82,1.49,2.24,3.43,5.67,6.49,6.93,7.34,7.72,8.09,8.39,8.69,9.02,9.58,11.33,11.85,12.34,12.75,13.2,14.2,211.96,5.875,8528.85,0.457,1,1,1,1958696634,75907423,88393.40066,-146.335159,64.211919,317.05,213.664847,64.211925,329.92,213.664849,64.211927,333.36,-0.41,-0.11,0.49,1.68,2.88,3.78,5.12,5.72,6.02,6.32,6.62,6.77,7.22,7.82,8.72,11.56,12.61,13.5,13.65,13.95,14.25,14.55,16.31,201.95,3.414,6451.18,0.497,0.993,1,1,1,0.981019211462079,1.17000000000002,0.52,0.23,0.27,0.86,1.39,1.54,1.69,0.0499999999999998,-0.470000000000001,-0.609999999999999,-0.72,-0.95,-0.87,-0.57,0.0300000000000011,2.54,3.03,2.17,1.8,1.61,1.5,1.35,2.11,213.23,-Inf,-Inf,TRUE,TRUE,NA
"138332",1957940049,5758792,63025.484,-146.334432,64.211686,309.92,213.665588,64.2117,327.74,-0.93,-0.67,-0.48,-0.34,-0.19,-0.04,0.11,0.22,0.41,0.63,1.45,5.85,9.58,10.74,11.41,11.97,12.64,13.94,14.24,14.61,15.06,15.73,17.82,211.63,5.878,8533.2,0.541,1,1,1,1958696634,75906319,88393.12466,-146.334425,64.211692,310.3,213.665586,64.211703,331.51,213.665586,64.211703,332.81,-0.75,-0.45,-0.3,-0.15,0.15,0.3,0.9,2.54,3.44,4.04,4.49,5.09,5.84,10.62,13.62,14.81,16.31,17.66,18.1,18.85,19.75,20.95,22.52,203.34,3.458,6455.67,0.524,0.987,1,1,1,0.750013906847429,0.379999999999995,0.18,0.22,0.18,0.19,0.34,0.34,0.79,2.32,3.03,3.41,3.04,-0.76,-3.74,-0.120000000000001,2.21,2.84,3.67,3.72,3.86,4.24,4.69,5.22,4.7,213.23,-Inf,-Inf,TRUE,TRUE,NA
"138345",1957940049,5758805,63025.488,-146.333996,64.211897,310.93,213.666016,64.211906,322.86,-1.19,-0.82,-0.52,-0.26,-0.04,0.19,0.41,0.63,0.89,1.12,1.38,1.72,2.27,4.85,8.65,9.62,10.18,10.74,10.85,11,11.15,11.37,11.93,211.27,5.67,8530.82,0.45,1,1,1,1958696634,75906332,88393.12791,-146.333979,64.211901,311.21,213.66603,64.21191,330.89,213.66603,64.211911,331.9,0.34,1.53,2.73,5.87,7.22,7.67,7.97,8.27,8.57,8.87,9.02,9.32,9.47,9.62,9.77,9.92,10.21,10.51,10.51,10.66,10.96,14.4,20.69,201.55,3.196,6455.83,0.396,0.993,1,1,1,0.937908463425355,0.279999999999973,1.53,2.35,3.25,6.13,7.26,7.48,7.56,7.64,7.68,7.75,7.64,7.6,7.2,4.77,1.12,0.300000000000001,0.0300000000000011,-0.23,-0.34,-0.34,-0.19,3.03,8.76,213.23,-Inf,-Inf,TRUE,TRUE,NA
"139202",1957940049,5760051,63025.799,-146.333917,64.211753,309.43,213.666109,64.21177,332.48,-0.34,0,0.37,1.16,3.65,5.85,7.01,8.28,9.81,11.11,12.16,13.16,14.43,15.92,17.26,18.72,20.13,21.33,21.55,21.77,22.04,22.37,23.04,212.91,5.732,8530.21,0.658,1,1,1,1958696634,75906133,88393.07816,-146.333909,64.211756,309.97,213.666101,64.211767,332.75,213.666102,64.211767,334.21,0.3,1.5,1.95,2.39,2.69,2.99,3.29,3.89,7.18,10.62,12.42,13.92,15.26,16.46,17.36,18.56,19.6,21.55,21.85,22.3,22.6,23.05,24.24,201.59,3.309,6455.38,0.589,0.991,1,1,1,0.512417254912227,0.54000000000002,0.64,1.5,1.58,1.23,-0.96,-2.86,-3.72,-4.39,-2.63,-0.49,0.26,0.76,0.83,0.540000000000001,0.0999999999999979,-0.16,-0.529999999999998,0.220000000000002,0.300000000000001,0.530000000000001,0.560000000000002,0.68,1.2,213.23,-Inf,-Inf,TRUE,TRUE,NA
"139221",1957940049,5760070,63025.804,-146.334348,64.211367,308.09,213.66567,64.211379,322.89,-0.19,0.41,1.3,2.83,4.14,4.99,5.63,6.19,6.74,7.23,7.64,8.01,8.38,8.76,9.13,9.54,10.02,10.92,11.29,11.89,12.63,13.49,14.79,212.57,6.048,8536.63,0.516,1,1,1,1958696634,75906157,88393.08416,-146.33435,64.21137,308.41,213.665658,64.211379,325.24,213.66566,64.211382,329.43,-1.12,-0.82,-0.67,-0.52,-0.38,-0.23,-0.23,-0.08,0.07,0.22,0.37,0.67,0.82,1.12,1.42,1.87,2.47,10.24,13.24,14.13,15.03,16.83,21.01,202,3.732,6462.86,0.266,0.992,1,2,1,0.348124123898361,0.32000000000005,-0.93,-1.23,-1.97,-3.35,-4.52,-5.22,-5.86,-6.27,-6.67,-7.01,-7.27,-7.34,-7.56,-7.64,-7.71,-7.67,-7.55,-0.68,1.95,2.24,2.4,3.34,6.22,213.23,-Inf,-Inf,FALSE,TRUE,NA
"139222",1957940049,5760071,63025.804,-146.33426,64.211342,307.83,213.665769,64.211362,333.17,-1.12,-0.86,-0.67,-0.52,-0.37,-0.26,-0.15,-0.07,0.04,0.15,0.26,0.37,0.52,0.67,0.89,1.3,2.05,17.89,19.23,20.94,22.17,23.29,25.34,212.25,6.049,8537.98,0.22,1,1,1,1958696634,75906156,88393.08391,-146.334255,64.21135,308.33,213.665747,64.211353,313.37,213.66575,64.211356,318.34,-0.87,-0.72,-0.42,-0.27,-0.12,-0.12,0.03,0.18,0.48,0.78,1.23,1.82,2.27,2.72,3.17,3.77,4.67,5.41,5.71,6.16,7.06,7.96,10.01,201.31,3.735,6463.76,0.381,0.992,1,2,1,0.923949123718254,0.5,0.25,0.14,0.25,0.25,0.25,0.14,0.18,0.25,0.44,0.63,0.97,1.45,1.75,2.05,2.28,2.47,2.62,-12.48,-13.52,-14.78,-15.11,-15.33,-15.33,213.23,-Inf,-Inf,FALSE,TRUE,NA
"140292",1957940049,5761339,63026.121,-146.33304,64.211629,308.23,213.666979,64.211642,325.68,-1.12,-0.78,-0.56,-0.37,-0.22,-0.07,0.07,0.26,0.45,0.67,1.01,2.24,5.59,8.43,10.37,12.64,14.47,15.48,15.7,15.92,16.22,16.63,17.45,212.5,5.642,8530.67,0.622,1,1,1,1958696634,75905050,88392.80741,-146.333033,64.211622,308.42,213.666974,64.211629,322.97,213.666975,64.21163,325.4,-0.75,-0.45,-0.15,0,0.3,0.75,1.5,3.44,5.09,5.84,6.44,7.03,7.63,8.23,8.68,9.28,10.03,10.92,11.22,11.67,13.47,14.82,16.99,202.52,3.248,6457.93,0.434,0.989,1,1,1,0.850858044535887,0.189999999999998,0.37,0.33,0.41,0.37,0.52,0.82,1.43,3.18,4.64,5.17,5.43,4.79,2.04,-0.199999999999999,-1.69,-3.36,-4.44,-4.56,-4.48,-4.25,-2.75,-1.81,-0.460000000000001,213.23,-Inf,-Inf,TRUE,TRUE,NA
"140293",1957940049,5761340,63026.121,-146.332953,64.211605,308.1,213.667065,64.211617,324.36,-1.04,-0.78,-0.6,-0.45,-0.3,-0.19,-0.07,0.04,0.15,0.26,0.37,0.56,0.75,1.16,3.54,8.58,11.26,13.42,13.8,14.21,14.73,15.33,16.26,212.15,5.642,8530.37,0.148,1,1,1,1958696634,75905049,88392.80716,-146.332943,64.211603,308.33,213.667064,64.21161,323.89,213.667065,64.211612,327.52,-0.75,-0.45,-0.3,-0.15,0,0.3,0.45,1.05,2.24,6.73,9.73,11.52,12.87,13.77,14.52,15.12,15.71,16.61,16.91,17.21,17.51,17.96,19.19,201.77,3.251,6456.88,0.527,0.992,1,1,1,0.534145361047843,0.229999999999961,0.29,0.33,0.3,0.3,0.3,0.49,0.52,1.01,2.09,6.47,9.36,10.96,12.12,12.61,10.98,6.54,4.45,3.19,3.11,3,2.78,2.63,2.93,213.23,-Inf,-Inf,TRUE,TRUE,NA
