"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","HLON_1","HLAT_1","ZH_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","SENSITIVITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","HLON_2","HLAT_2","ZH_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","SENSITIVITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"165987",1958682362,43376882,64940.04534,-148.339453,64.810954,166.11,211.660547,64.810954,166.11,211.660543,64.810955,169.7,-1.01,-0.86,-0.71,-0.56,-0.41,-0.41,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.79,1.09,1.68,1.83,1.98,2.13,2.58,3.59,112.04,3.015,12123.64,0.159,0.974,1,1,1,1958686358,42805519,72297.92606,-148.339456,64.81095,166.15,211.660544,64.81095,166.15,211.660541,64.810951,169.78,-1.05,-0.9,-0.75,-0.6,-0.45,-0.3,-0.3,-0.15,-0.15,0,0,0.15,0.3,0.3,0.6,0.75,1.05,1.65,1.8,1.95,2.25,2.55,3.63,109.23,2.785,12587.73,0.15,0.976,1,1,1,0.468016571171015,0.039999999999992,-0.04,-0.04,-0.04,-0.0399999999999999,-0.04,0.11,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.11,-0.04,0.11,-0.04,-0.04,-0.03,-0.03,-0.03,0.12,-0.0300000000000002,0.04,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166617",1958682362,43377658,64940.23934,-148.351939,64.815439,137.57,211.648061,64.815437,147.69,211.648061,64.815436,152.41,-0.71,-0.56,-0.41,-0.26,-0.11,-0.11,0.04,0.19,0.49,2.74,5.73,7.08,8.28,9.33,9.93,10.68,11.58,12.78,13.08,13.38,13.68,14.13,14.84,352.79,1.055,12137.39,0.498,0.946,1,1,1,1958686358,42806272,72298.11432,-148.351944,64.815447,137.52,211.648057,64.815444,154.15,211.648057,64.815443,156.44,-0.67,-0.52,-0.37,-0.22,-0.07,0.07,0.22,0.37,3.52,6.22,7.42,8.47,9.52,10.57,11.76,13.26,15.36,16.71,16.86,17.16,17.46,17.91,18.92,351.21,1.209,12603.41,0.594,0.975,1,1,1,0.922676206541598,-0.0499999999999829,0.0399999999999999,0.04,0.04,0.04,0.04,0.18,0.18,0.18,3.03,3.48,1.69,1.39,1.24,1.24,1.83,2.58,3.78,3.93,3.78,3.78,3.78,3.78,4.08,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166618",1958682362,43377659,64940.23959,-148.351983,64.815248,137.53,211.648017,64.815248,137.53,211.648018,64.815247,144.42,-1.01,-0.71,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.64,1.09,3.78,4.53,5.13,5.73,6.18,6.89,351.44,0.957,12137.39,0.169,0.951,1,1,1,1958686358,42806273,72298.11457,-148.351995,64.815247,137.59,211.648005,64.815246,143.62,211.648005,64.815246,144.67,-1.12,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.22,0.37,0.52,0.82,2.32,3.07,3.97,4.87,5.92,7.08,349.85,1.111,12603.56,0.207,0.984,1,1,1,0.580611205806622,0.0600000000000023,-0.11,-0.11,0.0399999999999999,0.04,-0.11,0.04,-0.11,0.04,-0.11,0.04,-0.11,0.03,-0.12,0.03,0.03,-0.12,-0.27,-1.46,-1.46,-1.16,-0.86,-0.26,0.19,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166619",1958682362,43377660,64940.23984,-148.351865,64.815318,137.62,211.648135,64.815318,137.62,211.648135,64.815317,144.18,-1.05,-0.9,-0.75,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0.15,0.3,0.3,0.45,2.1,3.15,4.05,4.95,5.7,6.56,353.25,0.99,12136.64,0.131,0.963,1,1,1,1958686358,42806274,72298.11482,-148.351875,64.815314,137.6,211.648125,64.815313,143.44,211.648125,64.815313,146.51,-1.12,-0.82,-0.67,-0.52,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,0.07,0.22,0.22,0.37,0.67,3.07,5.47,5.92,6.37,6.97,7.72,8.92,351.42,1.14,12603.56,0.15,0.981,1,1,1,0.651319709081315,-0.0200000000000102,-0.0700000000000001,0.0800000000000001,0.08,0.08,-0.07,0.08,-0.07,0.08,-0.07,0.08,0.08,0.07,0.22,0.07,0.07,0.37,2.62,3.37,2.77,2.32,2.02,2.02,2.36,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166620",1958682362,43377661,64940.24009,-148.351754,64.815384,137.56,211.648246,64.815382,150.49,211.648247,64.815382,151.65,-0.86,-0.71,-0.56,-0.41,-0.26,-0.11,-0.11,0.04,0.19,0.34,0.79,2.89,4.38,5.73,6.78,7.98,9.78,11.73,12.03,12.48,12.93,13.38,14.09,354.86,1.022,12137.24,0.44,0.963,1,1,1,1958686358,42806275,72298.11507,-148.351749,64.815385,137.52,211.648252,64.815383,150.9,211.648252,64.815383,152.88,-0.82,-0.67,-0.52,-0.37,-0.22,-0.07,-0.07,0.07,0.22,0.37,2.17,4.42,6.22,7.42,8.62,9.67,10.87,12.51,12.96,13.26,13.71,14.31,15.36,352.99,1.172,12603.11,0.523,0.974,1,1,1,0.262278813649649,-0.039999999999992,0.04,0.0399999999999999,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,1.38,1.53,1.84,1.69,1.84,1.69,1.09,0.779999999999999,0.930000000000001,0.779999999999999,0.780000000000001,0.93,1.27,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166622",1958682362,43377663,64940.24059,-148.351675,64.815259,137.65,211.648325,64.815258,142.97,211.648325,64.815258,146.83,-1.01,-0.71,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.64,2.59,5.13,5.58,6.03,6.93,7.98,9.18,355.53,0.954,12137.99,0.16,0.973,1,1,1,1958686358,42806277,72298.11557,-148.351672,64.815253,137.66,211.648329,64.815251,147.85,211.648329,64.815251,148.53,-0.97,-0.82,-0.67,-0.52,-0.52,-0.37,-0.22,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.22,0.37,0.52,2.02,4.72,5.62,6.82,8.32,9.67,10.87,353.4,1.103,12602.07,0.133,0.983,1,1,1,0.683710093331955,0.00999999999999091,0.04,-0.11,0.0399999999999999,0.04,-0.11,0.04,0.04,0.04,-0.11,0.04,-0.11,0.03,-0.12,0.03,0.03,-0.12,-0.57,-0.41,0.04,0.79,1.39,1.69,1.69,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166623",1958682362,43377664,64940.24084,-148.35157,64.815322,137.72,211.64843,64.815321,141.21,211.64843,64.815321,143.27,-1.05,-0.9,-0.75,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,0,0,0.15,0.15,0.3,0.45,0.6,2.4,3,3.45,3.9,4.35,5.55,357.03,0.985,12137.09,0.089,0.974,1,1,1,1958686358,42806278,72298.11582,-148.351552,64.815321,137.67,211.648449,64.81532,141.56,211.648449,64.815319,143.73,-1.01,-0.86,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,1.09,2.88,3.48,3.78,4.38,4.98,6.07,354.89,1.134,12603.11,0.129,0.982,1,1,1,0.861954416387896,-0.0500000000000114,0.04,0.04,0.04,0.0399999999999999,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.49,0.48,0.48,0.33,0.48,0.630000000000001,0.52,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166625",1958682362,43377666,64940.24134,-148.351478,64.815201,137.84,211.648522,64.815201,137.84,211.648522,64.8152,142.59,-1.05,-0.75,-0.6,-0.6,-0.45,-0.3,-0.3,-0.15,-0.15,0,0,0.15,0.15,0.3,0.45,0.9,1.8,2.55,2.85,3.15,3.45,3.9,4.76,358.09,0.921,12137.24,0.341,0.968,1,1,1,1958686358,42806280,72298.11632,-148.351483,64.815194,137.81,211.648517,64.815194,137.81,211.648517,64.815193,142.68,-0.94,-0.79,-0.64,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.41,0.71,1.16,1.76,2.66,2.96,3.11,3.41,3.86,4.87,355.35,1.069,12602.96,0.297,0.983,1,1,1,0.815483251430933,-0.0300000000000011,0.11,-0.04,-0.04,0.11,0.11,-0.04,0.11,-0.04,0.11,-0.04,0.11,-0.04,0.11,0.11,0.26,0.26,-0.04,0.11,0.11,-0.04,-0.04,-0.04,0.11,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166626",1958682362,43377667,64940.24159,-148.351373,64.815264,137.78,211.648627,64.815262,145.31,211.648627,64.815262,146.06,-0.94,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.41,0.71,2.21,4.46,5.21,5.81,6.56,7.31,8.28,359.56,0.953,12137.54,0.173,0.973,1,1,1,1958686358,42806281,72298.11657,-148.351363,64.815261,137.74,211.648637,64.815261,141.86,211.648637,64.81526,145.23,-1.01,-0.86,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.64,1.84,3.63,3.93,4.23,4.83,5.73,7.49,356.83,1.101,12602.51,0.181,0.983,1,1,1,0.580748810507298,-0.039999999999992,-0.0700000000000001,-0.07,-0.07,-0.0700000000000001,0.08,-0.07,0.08,-0.07,0.08,-0.07,0.08,-0.07,0.08,-0.07,-0.07,-0.07,-0.37,-0.83,-1.28,-1.58,-1.73,-1.58,-0.789999999999999,359.56,-Inf,-Inf,TRUE,TRUE,NA
"166628",1958682362,43377669,64940.24209,-148.351285,64.815136,137.84,211.648715,64.815135,142.45,211.648715,64.815135,143.72,-1.05,-0.75,-0.6,-0.6,-0.45,-0.3,-0.3,-0.15,-0.15,0,0,0,0.15,0.3,0.3,0.6,1.05,2.55,3,3.6,4.2,4.8,5.88,0.77,0.885,12136.94,0.198,0.98,1,1,1,1958686358,42806283,72298.11707,-148.351291,64.815131,137.87,211.648709,64.815131,137.87,211.648709,64.81513,142.82,-1.01,-0.86,-0.71,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.49,0.94,1.99,2.29,2.59,3.03,3.63,4.95,357.47,1.034,12602.52,0.243,0.982,1,1,1,0.625863374273242,0.0300000000000011,0.04,-0.11,-0.11,0.0399999999999999,0.04,-0.11,0.04,-0.11,0.04,-0.11,0.04,0.04,0.04,-0.11,0.04,-0.11,-0.11,-0.56,-0.71,-1.01,-1.17,-1.17,-0.93,359.56,-Inf,-Inf,TRUE,TRUE,NA
