"","LFID_1","SHOTNUMBER_1","TIME_1","GLON_1","GLAT_1","ZG_1","TLON_1","TLAT_1","ZT_1","RH10_1","RH15_1","RH20_1","RH25_1","RH30_1","RH35_1","RH40_1","RH45_1","RH50_1","RH55_1","RH60_1","RH65_1","RH70_1","RH75_1","RH80_1","RH85_1","RH90_1","RH95_1","RH96_1","RH97_1","RH98_1","RH99_1","RH100_1","AZIMUTH_1","INCIDENTANGLE_1","RANGE_1","COMPLEXITY_1","CHANNEL_ZT_1","CHANNEL_ZG_1","CHANNEL_RH_1","LFID_2","SHOTNUMBER_2","TIME_2","GLON_2","GLAT_2","ZG_2","TLON_2","TLAT_2","ZT_2","RH10_2","RH15_2","RH20_2","RH25_2","RH30_2","RH35_2","RH40_2","RH45_2","RH50_2","RH55_2","RH60_2","RH65_2","RH70_2","RH75_2","RH80_2","RH85_2","RH90_2","RH95_2","RH96_2","RH97_2","RH98_2","RH99_2","RH100_2","AZIMUTH_2","INCIDENTANGLE_2","RANGE_2","COMPLEXITY_2","CHANNEL_ZT_2","CHANNEL_ZG_2","CHANNEL_RH_2","distance","ZG_diff","RH10_diff","RH15_diff","RH20_diff","RH25_diff","RH30_diff","RH35_diff","RH40_diff","RH45_diff","RH50_diff","RH55_diff","RH60_diff","RH65_diff","RH70_diff","RH75_diff","RH80_diff","RH85_diff","RH90_diff","RH95_diff","RH96_diff","RH97_diff","RH98_diff","RH99_diff","RH100_diff","AZIM_max","INCI_max","COMP_max","CHAN_ZG","CHAN_ZT","CHAN_R"
"204",1957948178,19343628,85713.756,-150.94429,69.384731,132.81,209.055709,69.384732,134.34,-0.97,-0.78,-0.63,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.08,1.53,168.84,4.961,8721.97,0.116,1,1,1,1957948150,15985297,84874.164,-150.944283,69.384735,133,209.05572,69.384736,134.49,-0.97,-0.78,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.6,0.75,0.82,0.9,0.97,1.08,1.49,240.56,4.343,8710.29,0.131,1,1,1,0.524184499299437,0.189999999999998,0,0,-0.01,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0.0399999999999999,0,0.0399999999999999,0.04,0.0399999999999999,0,-0.04,242.44,-Inf,-Inf,TRUE,TRUE,NA
"213",1957948178,19343637,85713.758,-150.944098,69.384508,132.94,209.055901,69.384509,134.4,-0.97,-0.78,-0.63,-0.52,-0.45,-0.37,-0.26,-0.19,-0.11,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.52,0.71,0.75,0.82,0.9,1.05,1.46,168.67,5.131,8724.05,0.133,1,1,1,1957948150,15984096,84873.864,-150.944084,69.384501,133.07,209.055921,69.384501,135.83,-0.97,-0.78,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.78,0.82,0.9,1.01,1.27,2.76,241.47,4.373,8709.98,0.088,1,1,1,0.95522705272716,0.129999999999995,0,0,-0.01,0,0,0.03,0,0,0,0.03,0.04,0.04,0.04,0.04,0,0.04,0.04,0.0700000000000001,0.07,0.0800000000000001,0.11,0.22,1.3,242.44,-Inf,-Inf,TRUE,TRUE,NA
"221",1957948178,19343645,85713.76,-150.944033,69.384272,135.19,209.055966,69.384273,136.79,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.56,0.75,0.78,0.86,0.93,1.08,1.6,168.88,5.305,8724.04,0.088,1,1,1,1957948150,15983043,84873.6,-150.944049,69.384272,135.12,209.055953,69.384273,136.62,-1.01,-0.82,-0.67,-0.56,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.82,0.9,0.97,1.12,1.49,242.28,4.442,8709.67,0.089,1,1,1,0.628906998975438,-0.0699999999999932,0,0,0,0,0,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.08,0.0399999999999999,0.03,0.0399999999999999,0.04,0.0399999999999999,0.04,-0.11,242.44,-Inf,-Inf,TRUE,TRUE,NA
"226",1957948178,19343650,85713.761,-150.943718,69.384224,136.4,209.056281,69.384225,137.71,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.82,0.9,1.01,1.31,168.11,5.356,8723.43,0.088,1,1,1,1957948150,15983044,84873.601,-150.943732,69.384225,136.39,209.056271,69.384225,137.92,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.6,0.78,0.82,0.9,0.97,1.12,1.53,241.37,4.386,8706.83,0.15,1,1,1,0.561485578160983,-0.0100000000000193,-0.04,-0.0399999999999999,-0.04,-0.04,-0.04,-0.03,0,0,0,0,0,0,0,0,0,0,0.0399999999999999,0.03,0.0399999999999999,0.0800000000000001,0.07,0.11,0.22,242.44,-Inf,-Inf,TRUE,TRUE,NA
"237",1957948178,19343661,85713.764,-150.943594,69.383914,139.69,209.056406,69.383915,140.92,-0.97,-0.78,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.3,0.41,0.52,0.67,0.75,0.78,0.86,0.97,1.23,168.29,5.587,8723.11,0.076,1,1,1,1957948150,15981845,84873.301,-150.943591,69.383917,139.65,209.056412,69.383918,141.11,-0.97,-0.78,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.08,1.46,241.74,4.458,8704.88,0.088,1,1,1,0.354796652505659,-0.039999999999992,0,0,0.03,0.04,0,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.03,0.08,0.0700000000000001,0.11,0.23,242.44,-Inf,-Inf,TRUE,TRUE,NA
"252",1957948178,19343676,85713.768,-150.943281,69.383543,142.91,209.056718,69.383544,144.18,-1.01,-0.78,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0,0.07,0.15,0.22,0.34,0.41,0.56,0.71,0.75,0.82,0.89,1.01,1.27,168.09,5.871,8724.43,0.116,1,1,1,1957948150,15980644,84873.001,-150.943272,69.383536,143.01,209.056731,69.383536,144.69,-0.97,-0.78,-0.64,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.45,0.6,0.78,0.82,0.9,0.97,1.12,1.68,241.22,4.515,8701.28,0.061,1,1,1,0.857202814921493,0.0999999999999943,0.04,0,0.03,0.04,0.04,0.03,0,0,0,0,0.04,0.04,0.04,0.04,0.03,0.04,0.0399999999999999,0.0700000000000001,0.07,0.0800000000000001,0.08,0.11,0.41,242.44,-Inf,-Inf,TRUE,TRUE,NA
"284",1957948178,19343708,85713.776,-150.943273,69.383861,140.8,209.056727,69.383863,142.1,-0.97,-0.78,-0.63,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.01,1.31,167.65,5.643,8723.11,0.116,1,1,1,1957948150,15981690,84873.262,-150.943291,69.383855,140.82,209.056712,69.383855,142.39,-1.05,-0.86,-0.67,-0.56,-0.45,-0.37,-0.3,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.86,0.9,1.01,1.16,1.57,241.15,4.412,8702.48,0.062,1,1,1,0.973911908779608,0.0199999999999818,-0.0800000000000001,-0.08,-0.04,-0.04,-0.04,-0.03,-0.04,0,0,0,0,0,0,0,0.03,0.04,0.0399999999999999,0.03,0.08,0.04,0.08,0.15,0.26,242.44,-Inf,-Inf,TRUE,TRUE,NA
"291",1957948178,19343715,85713.778,-150.94327,69.384022,139.45,209.05673,69.384023,140.72,-0.93,-0.75,-0.6,-0.52,-0.41,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.71,0.78,0.82,0.9,1.01,1.27,167.39,5.528,8723.12,0.087,1,1,1,1957948150,15981852,84873.303,-150.943259,69.384029,139.42,209.056744,69.38403,141.25,-0.97,-0.78,-0.64,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.86,0.93,1.01,1.16,1.83,242.14,4.344,8703.99,0.088,1,1,1,0.892520647681417,-0.0300000000000011,-0.0399999999999999,-0.03,-0.04,0,-0.04,0,0,0,0,0,0,0,0,0,0.03,0.04,0.0399999999999999,0.0700000000000001,0.08,0.11,0.11,0.15,0.56,242.44,-Inf,-Inf,TRUE,TRUE,NA
"304",1957948178,19343728,85713.781,-150.943388,69.384329,136.42,209.056612,69.38433,137.65,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.3,-0.22,-0.15,-0.07,0,0.07,0.15,0.22,0.34,0.41,0.52,0.71,0.75,0.82,0.9,0.97,1.23,167.21,5.301,8722.54,0.143,1,1,1,1957948150,15983051,84873.602,-150.943398,69.384337,136.37,209.056605,69.384338,138.28,-1.01,-0.82,-0.67,-0.56,-0.45,-0.37,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.82,0.9,0.97,1.12,1.91,241.77,4.271,8705.94,0.105,1,1,1,0.975073234643223,-0.0499999999999829,0,0,0,0,0,0,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.07,0.0800000000000001,0.07,0.15,0.68,242.44,-Inf,-Inf,TRUE,TRUE,NA
"308",1957948178,19343732,85713.782,-150.943762,69.384449,134.16,209.056237,69.38445,135.58,-1.01,-0.78,-0.67,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.34,0.45,0.56,0.75,0.78,0.86,0.93,1.08,1.42,168.05,5.193,8723.59,0.105,1,1,1,1957948150,15984091,84873.862,-150.943768,69.384453,134.15,209.056236,69.384453,136.2,-1.01,-0.78,-0.67,-0.52,-0.45,-0.34,-0.26,-0.19,-0.11,-0.04,0.04,0.11,0.19,0.26,0.37,0.49,0.6,0.78,0.86,0.93,1.05,1.2,2.06,240.55,4.319,8708.79,0.105,1,1,1,0.50466468712051,-0.00999999999999091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.0399999999999999,0.03,0.08,0.0700000000000001,0.12,0.12,0.64,242.44,-Inf,-Inf,TRUE,TRUE,NA
